run_id,video,model,confidence_threshold,image_size,fps_source,source_frame_count,source_duration_s,wall_time_s,realtime_ratio_wall_over_source,source_frames_seen,frames_processed,frames_dropped,drop_percentage,processing_fps,tegrastats_samples,tegrastats_interval_ms,cpu_avg_pct,cpu_std_pct,cpu_max_pct,gpu_avg_pct,gpu_std_pct,gpu_max_pct,ram_avg_mb,ram_std_mb,ram_max_mb,ram_total_mb,temp_avg_c,temp_std_c,temp_max_c,temp_peak_zone,events_measured,user_stopped
20260831_065611_755372,ROAD_GROUP_ZONE_001.mp4,agroguard_yolov8n_v1.pt,0.5,640,33.61,336,9.997,11.4423,1.1446,336,1,335,99.7024,0.0874,22,500,8.4621,4.2414,15.8333,1.3182,3.1964,13.0,2057.18,229.28,2357.0,7607.0,45.613,0.05,45.687,soc2,0,0
20260831_071534_916356,ROAD_GROUP_ZONE_001.mp4,agroguard_yolov8n_v1.pt,0.5,640,33.61,336,9.997,10.0125,1.0015,336,111,225,66.9643,11.0861,19,500,19.9123,4.0657,33.6667,33.0526,25.8385,75.0,3762.89,248.69,4029.0,7607.0,49.357,0.105,49.5,soc2,2,0
